SUBJECT;LABEL;DICE;TIMES
117122;Amygdala;0.497204622;5.211393417
117122;GreyMatter;0.513631731;
117122;Hippocampus;0.594812981;
117122;Thalamus;0.765829;
117122;WhiteMatter;0.650037836;
118528;Amygdala;0.593592513;4.835674083
118528;GreyMatter;0.541289547;
118528;Hippocampus;0.658606344;
118528;Thalamus;0.762117277;
118528;WhiteMatter;0.667760148;
118730;Amygdala;0.75728447;8.671895667
118730;GreyMatter;0.559776718;
118730;Hippocampus;0.588606906;
118730;Thalamus;0.815302246;
118730;WhiteMatter;0.655691921;
118932;Amygdala;0.677940046;9.810768625
118932;GreyMatter;0.560122387;
118932;Hippocampus;0.681805501;
118932;Thalamus;0.757281553;
118932;WhiteMatter;0.66557552;
120111;Amygdala;0.598771904;6.410302042
120111;GreyMatter;0.533932907;
120111;Hippocampus;0.675308142;
120111;Thalamus;0.809808236;
120111;WhiteMatter;0.697220678;
122317;Amygdala;0.575301703;5.283555375
122317;GreyMatter;0.499415902;
122317;Hippocampus;0.500939967;
122317;Thalamus;0.692505411;
122317;WhiteMatter;0.619131002;
122620;Amygdala;0.512315271;4.849760583
122620;GreyMatter;0.489084533;
122620;Hippocampus;0.361482063;
122620;Thalamus;0.813852814;
122620;WhiteMatter;0.624347644;
123117;Amygdala;0.701101287;5.093462959
123117;GreyMatter;0.560312445;
123117;Hippocampus;0.711214213;
123117;Thalamus;0.836571287;
123117;WhiteMatter;0.701967715;
123925;Amygdala;0.678504673;4.948437792
123925;GreyMatter;0.550017489;
123925;Hippocampus;0.69131016;
123925;Thalamus;0.851749308;
123925;WhiteMatter;0.714193427;
124422;Amygdala;0.711557458;5.195366792
124422;GreyMatter;0.52845474;
124422;Hippocampus;0.683041381;
124422;Thalamus;0.803600712;
124422;WhiteMatter;0.653379781;
;;;6.031061733
;;;1.77039259